"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","86","0","16","0","0","0","0","3","1","16","2"
"10m","38","0","38","3","1","0","0","3","1","38","1.5"
"20m","86","0","3","0","0","0","0","16","1","16","2"
"30m","16","0","3","2","1","0","0","86","16","3","0.5"
"40m","86","0","3","0","0","0","0","38","1","38","3.5"
"50m","98","0","3","0","0","0","0","0","1","16","5"
"60m","86","0","16","0","0","0","0","3","0","16","5"
"70m","86","0","3","0","0","0","0","16","0","3","4"
"80m","98","0","3","0","0","0","0","0","1","16","2"
"90m","98","0","3","0","0","0","0","0","0","3","5"
